ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-05-05,3505.843496400487,3308.8948040641403,3568.066962583695,3505.843496400487,3505.843496400487,-62.95004788578209,-62.95004788578209,-62.95004788578209,-10.075088241820245,-10.075088241820245,-10.075088241820245,-52.874959643961844,-52.874959643961844,-52.874959643961844,0.0,0.0,0.0,3442.8934485147047
2022-05-06,3503.737807129133,3308.724908918992,3566.0347668819513,3503.737807129133,3503.737807129133,-66.5330541599691,-66.5330541599691,-66.5330541599691,-11.600021620751406,-11.600021620751406,-11.600021620751406,-54.93303253921769,-54.93303253921769,-54.93303253921769,0.0,0.0,0.0,3437.204752969164
2022-05-09,3497.420739315072,3295.4604737401223,3556.4027902022135,3497.420739315072,3497.420739315072,-72.6099586057397,-72.6099586057397,-72.6099586057397,-11.3187399753102,-11.3187399753102,-11.3187399753102,-61.2912186304295,-61.2912186304295,-61.2912186304295,0.0,0.0,0.0,3424.810780709332
2022-05-10,3495.3150500437177,3288.687179761347,3540.3387445022354,3495.3150500437177,3495.3150500437177,-73.29499062135034,-73.29499062135034,-73.29499062135034,-9.813608091951565,-9.813608091951565,-9.813608091951565,-63.481382529398765,-63.481382529398765,-63.481382529398765,0.0,0.0,0.0,3422.0200594223675
2022-05-11,3493.2093607723646,3282.7404120915144,3539.0002389190604,3493.2093607723646,3493.2093607723646,-74.14319085535206,-74.14319085535206,-74.14319085535206,-8.435019098211217,-8.435019098211217,-8.435019098211217,-65.70817175714085,-65.70817175714085,-65.70817175714085,0.0,0.0,0.0,3419.0661699170123
2022-05-12,3491.1036715010105,3283.1437510076294,3548.0235079734293,3491.1036715010105,3491.1036715010105,-78.04476643075398,-78.04476643075398,-78.04476643075398,-10.075088241775564,-10.075088241775564,-10.075088241775564,-67.96967818897842,-67.96967818897842,-67.96967818897842,0.0,0.0,0.0,3413.0589050702565
2022-05-13,3488.9979822296564,3280.1792682802056,3536.531181082898,3488.9979822296564,3488.9979822296564,-81.86196699521548,-81.86196699521548,-81.86196699521548,-11.600021620724718,-11.600021620724718,-11.600021620724718,-70.26194537449075,-70.26194537449075,-70.26194537449075,0.0,0.0,0.0,3407.136015234441
2022-05-16,3482.680914415595,3266.386599110618,3531.7410280932745,3482.680914415595,3482.680914415595,-88.56974577862623,-88.56974577862623,-88.56974577862623,-11.318739975334204,-11.318739975334204,-11.318739975334204,-77.25100580329203,-77.25100580329203,-77.25100580329203,0.0,0.0,0.0,3394.1111686369686
2022-05-17,3480.575225144242,3260.93590185325,3528.736832540955,3480.575225144242,3480.575225144242,-89.39667780457368,-89.39667780457368,-89.39667780457368,-9.813608091911979,-9.813608091911979,-9.813608091911979,-79.5830697126617,-79.5830697126617,-79.5830697126617,0.0,0.0,0.0,3391.178547339668
2022-05-18,3478.4695358728877,3259.3189617064522,3516.10067971753,3478.4695358728877,3478.4695358728877,-90.32866742768897,-90.32866742768897,-90.32866742768897,-8.435019098255436,-8.435019098255436,-8.435019098255436,-81.89364832943353,-81.89364832943353,-81.89364832943353,0.0,0.0,0.0,3388.140868445199
