Date,Open,High,Low,Close,Volume,MA20,MA50,Daily_Return,Volatility
2020-01-23,2209.800048828125,2217.75,2183.699951171875,2190.949951171875,2069866,2199.0025024414062,2147.7510107421876,-0.007227310651894969,0.01163506941644035
2020-01-24,2190.949951171875,2190.949951171875,2170.0,2183.39990234375,1319430,2198.2474975585938,2147.4830078125,-0.0034460161100835496,0.011654377956593066
2020-01-27,2189.699951171875,2193.449951171875,2165.0,2169.25,1549101,2197.55,2147.3790087890625,-0.00648067370918215,0.011640423620766841
2020-01-28,2174.0,2187.800048828125,2152.0,2183.75,1743024,2198.6525024414063,2148.0020068359377,0.006684337904805826,0.011509705869289419
2020-01-29,2185.0,2186.949951171875,2150.0,2154.60009765625,2306761,2198.0025024414062,2148.9180078125,-0.013348552876359498,0.01190564907698518
2020-01-30,2160.0,2165.0,2125.0,2137.85009765625,2098567,2197.0125122070312,2149.5040087890625,-0.00777406443925277,0.011987967425258442
2020-01-31,2139.39990234375,2144.35009765625,2071.60009765625,2079.050048828125,3287223,2190.93251953125,2148.7230078125,-0.02750428989038478,0.012439511356229109
2020-02-03,2152.0,2194.699951171875,2093.199951171875,2102.5,4728073,2186.035021972656,2149.3390087890625,0.011279166263983287,0.012822052662945697
2020-02-04,2129.0,2136.699951171875,2086.60009765625,2107.75,3509339,2181.130017089844,2149.8640087890626,0.0024970273483948535,0.012822875384247022
2020-02-05,2115.0,2156.699951171875,2104.300048828125,2146.550048828125,2439322,2175.69501953125,2151.8620092773435,0.018408278414482337,0.012445971407656674
2020-02-06,2145.0,2174.199951171875,2115.5,2128.35009765625,2640065,2171.39501953125,2153.3430102539064,-0.008478698729531553,0.011981765497401571
2020-02-07,2139.0,2151.0,2119.0,2136.550048828125,2083442,2167.54501953125,2154.527009277344,0.003852726664144601,0.012047309092467403
2020-02-10,2140.89990234375,2167.0,2119.0,2161.949951171875,2383032,2166.1250122070314,2156.7010083007813,0.0118882786563701,0.01222618033053428
2020-02-11,2163.0,2174.800048828125,2147.60009765625,2153.39990234375,1335820,2163.4500122070312,2159.3480053710937,-0.003954785735669097,0.012093191963371186
2020-02-12,2151.10009765625,2185.0,2150.0,2170.75,1620407,2160.6425170898438,2161.7430053710937,0.008057071813445393,0.012050490597406737
2020-02-13,2172.949951171875,2197.0,2171.0,2191.949951171875,1645948,2158.300012207031,2164.0120043945312,0.009766187341644583,0.012216447569388297
2020-02-14,2188.0,2212.0,2171.0,2184.199951171875,1500115,2156.5550048828127,2165.270002441406,-0.0035356646696502736,0.012095354185019894
2020-02-17,2196.949951171875,2217.0,2190.199951171875,2203.25,1774724,2158.2,2166.863000488281,0.00872175132954478,0.011169431310476746
2020-02-18,2199.949951171875,2221.0,2186.050048828125,2215.75,2486223,2160.4349975585938,2169.9690014648436,0.005673436968115286,0.011221056537701135
2020-02-19,2215.75,2230.0,2190.5,2196.35009765625,1760463,2159.907507324219,2173.63900390625,-0.008755456321223098,0.01080680031400108
2020-02-20,2204.5,2214.39990234375,2151.25,2156.800048828125,2317278,2158.2000122070312,2175.9370043945314,-0.018007169654022492,0.01142757877168533
2020-02-24,2156.0,2178.949951171875,2106.699951171875,2115.35009765625,3092877,2154.7975219726563,2177.826005859375,-0.019218263275910252,0.012146968198804583
2020-02-25,2115.5,2176.64990234375,2111.0,2156.14990234375,2674567,2154.1425170898438,2179.52400390625,0.019287495120881015,0.01293329407818333
2020-02-26,2154.0,2163.89990234375,2112.949951171875,2123.60009765625,2686842,2151.1350219726564,2179.461005859375,-0.015096262394427296,0.013234548331762056
2020-02-27,2119.949951171875,2119.949951171875,2086.199951171875,2105.5,2349001,2148.6800170898437,2178.2720068359376,-0.008523307978854588,0.013046219844438458
2020-02-28,2068.0,2069.5,1990.0,2000.1500244140625,4298076,2141.7950134277344,2174.9200073242187,-0.05003560939726315,0.017009575929772605
2020-03-02,2035.0,2053.949951171875,1985.699951171875,2001.300048828125,2667076,2137.9075134277346,2170.365007324219,0.0005749690773317884,0.01602697320714078
2020-03-03,2020.0,2060.0,2012.0,2036.199951171875,2757585,2134.5925109863283,2166.631008300781,0.01743861564595761,0.016347105385637963
2020-03-04,2056.0,2094.449951171875,2025.0,2083.199951171875,3237002,2133.3650085449217,2163.6610083007813,0.0230822125169734,0.017234140902606478
2020-03-05,2085.699951171875,2147.75,2084.050048828125,2125.050048828125,3937056,2132.290008544922,2161.850007324219,0.020089333063159742,0.017334723853353454
2020-03-06,2098.0,2123.64990234375,2071.60009765625,2116.449951171875,2595027,2131.695001220703,2160.140007324219,-0.004047009462667783,0.01725359953758217
2020-03-09,2075.0,2079.89990234375,1935.0,1972.3499755859373,4940975,2123.484997558594,2155.6170068359374,-0.06808569959622712,0.022939723999548578
2020-03-11,1933.0,1987.300048828125,1920.0,1953.699951171875,6796449,2113.0724975585936,2151.0270068359373,-0.009455737898910077,0.0226695859444898
2020-03-12,1904.0,1908.4000244140625,1758.3499755859375,1769.8499755859375,8728786,2093.8950012207033,2143.1900073242186,-0.09410348578637162,0.03020294146927583
2020-03-13,1687.9000244140625,1820.0,1506.050048828125,1806.300048828125,8029720,2075.672503662109,2135.9640063476563,0.020595007342427474,0.030708249981778568
2020-03-16,1755.0,1842.25,1675.8499755859375,1696.4000244140625,7844271,2050.8950073242186,2126.7390087890626,-0.06084261830439652,0.032483265128618974
2020-03-17,1730.0,1731.0,1623.1500244140625,1658.0,5713248,2024.585009765625,2115.8860107421874,-0.022636184780370994,0.032495525586125444
2020-03-18,1676.800048828125,1713.550048828125,1627.75,1654.4000244140625,7258778,1997.142510986328,2104.965012207031,-0.0021712759866933107,0.03219927732868961
2020-03-19,1559.699951171875,1685.449951171875,1546.75,1636.3499755859375,5135111,1968.172509765625,2093.575009765625,-0.01091032915967094,0.03188580267646673
2020-03-20,1630.0,1869.0,1627.0,1797.449951171875,8547498,1948.2275024414062,2084.4190087890624,0.0984508069725436,0.0407020036680694
